 APM441H1 - Asymptotic and Perturbation Methods,"APM346H1/ MAT351Y1, MAT334H1/ MAT354H1"
 MAT445H1 - Representation Theory,MAT347Y1
 APM446H1 - Applied Nonlinear Equations,APM346H1/ MAT351Y1
 MAT448H1 - Introduction to Commutative Algebra and Algebraic Geometry,MAT347Y1
 MAT449H1 - Algebraic Curves,"MAT347Y1, MAT354H1"
 MAT454H1 - Complex Analysis II,MAT354H1
 MAT457H1 - Advanced Real Analysis I,MAT357H1
 MAT458H1 - Advanced Real Analysis II,MAT457H1
 MAT461H1 - Hamiltonian Mechanics,"MAT244H1/ MAT267H1, MAT337H1/ MAT367H1, APM346H1/ MAT351Y1"
 APM461H1 - Combinatorial Methods,"MAT224H1/ MAT247H1, MAT137Y1/ MAT157Y1, MAT301H1/ MAT347Y1"
 APM462H1 - Nonlinear Optimization,"(MAT223H1,MAT224H1)/ MAT247H1, MAT235Y1/ MAT237Y1/ MAT257Y1"
 MAT464H1 - Riemannian Geometry,MAT367H1
 APM466H1 - Mathematical Theory of Finance,"APM346H1, STA347H1"
 MAT475H1 - Problem Solving Seminar,"MAT224H1/ MAT247H1, MAT235Y1/ MAT237Y1/ MAT257Y1"
 MAT477H1 - Seminar in Mathematics,"MAT347Y1, MAT354H1, MAT357H1"
 MAT478H1 - Seminar in Mathematics,"MAT347Y1, MAT354H1, MAT357H1"
